date,cdc_labs,us_ph_labs,cdc_conf,incomplete
2020-01-18,4,0,FALSE,FALSE
2020-01-19,0,0,FALSE,FALSE
2020-01-20,7,0,FALSE,FALSE
2020-01-21,3,0,FALSE,FALSE
2020-01-22,10,0,FALSE,FALSE
2020-01-23,36,0,FALSE,FALSE
2020-01-24,53,0,FALSE,FALSE
2020-01-25,101,0,FALSE,FALSE
2020-01-26,79,0,FALSE,FALSE
2020-01-27,77,0,FALSE,FALSE
2020-01-28,65,0,FALSE,FALSE
2020-01-29,102,0,FALSE,FALSE
2020-01-30,256,0,FALSE,FALSE
2020-01-31,63,0,FALSE,FALSE
2020-02-01,310,0,FALSE,FALSE
2020-02-02,33,0,FALSE,FALSE
2020-02-03,131,1,FALSE,FALSE
2020-02-04,93,0,FALSE,FALSE
2020-02-05,104,3,FALSE,FALSE
2020-02-06,74,2,FALSE,FALSE
2020-02-07,93,0,FALSE,FALSE
2020-02-08,79,0,FALSE,FALSE
2020-02-09,36,2,FALSE,FALSE
2020-02-10,37,1,FALSE,FALSE
2020-02-11,95,2,FALSE,FALSE
2020-02-12,56,2,FALSE,FALSE
2020-02-13,47,1,FALSE,FALSE
2020-02-14,36,5,FALSE,FALSE
2020-02-15,51,4,FALSE,FALSE
2020-02-16,24,1,FALSE,FALSE
2020-02-17,7,28,FALSE,FALSE
2020-02-18,32,11,FALSE,FALSE
2020-02-19,63,6,FALSE,FALSE
2020-02-20,55,4,FALSE,FALSE
2020-02-21,249,3,FALSE,FALSE
2020-02-22,254,3,FALSE,FALSE
2020-02-23,67,2,FALSE,FALSE
2020-02-24,50,19,FALSE,FALSE
2020-02-25,50,13,FALSE,FALSE
2020-02-26,80,30,FALSE,FALSE
2020-02-27,62,141,FALSE,FALSE
2020-02-28,86,180,FALSE,FALSE
2020-02-29,80,288,FALSE,FALSE
2020-03-01,31,262,FALSE,FALSE
2020-03-02,94,568,FALSE,FALSE
2020-03-03,73,814,FALSE,FALSE
2020-03-04,111,1169,FALSE,FALSE
2020-03-05,86,1719,FALSE,FALSE
2020-03-06,5,1969,FALSE,FALSE
2020-03-07,179,1515,FALSE,FALSE
2020-03-08,82,1661,FALSE,FALSE
2020-03-09,36,3343,FALSE,FALSE
2020-03-10,172,3539,FALSE,FALSE
2020-03-11,143,4344,FALSE,FALSE
2020-03-12,205,6172,FALSE,FALSE
2020-03-13,29,6846,FALSE,FALSE
2020-03-14,20,6085,TRUE,FALSE
2020-03-15,1,5824,TRUE,FALSE
2020-03-16,3,10972,TRUE,FALSE
2020-03-17,15,11154,TRUE,FALSE
2020-03-18,31,10312,TRUE,FALSE
2020-03-19,15,9999,TRUE,FALSE
2020-03-20,11,9232,TRUE,FALSE
2020-03-21,32,5408,TRUE,FALSE
2020-03-22,1,4768,TRUE,FALSE
2020-03-23,2,8737,TRUE,FALSE
2020-03-24,4,8536,TRUE,FALSE
2020-03-25,29,8653,TRUE,FALSE
2020-03-26,42,8821,TRUE,FALSE
2020-03-27,26,8891,TRUE,FALSE
2020-03-28,9,5721,TRUE,TRUE
2020-03-29,1,4783,TRUE,TRUE
2020-03-30,5,10096,TRUE,TRUE
2020-03-31,34,8608,TRUE,TRUE
2020-04-01,10,4341,TRUE,TRUE
2020-04-02,31,711,TRUE,TRUE
2020-04-03,NA,0,TRUE,TRUE
