"","statename","S1_min","S1_med","S1_max","S0_min","S0_med","S0_max"
"1","Alabama","0.088","0.099","0.108","0.000","0.005","0.035"
"2","Alaska","0.026","0.030","0.032","0.000","0.001","0.010"
"3","Arizona","0.074","0.084","0.091","0.000","0.004","0.029"
"4","Arkansas","0.058","0.065","0.071","0.000","0.003","0.023"
"5","California","0.087","0.099","0.107","0.000","0.005","0.034"
"6","Colorado","0.167","0.190","0.206","0.001","0.010","0.066"
"7","Connecticut","0.242","0.275","0.299","0.001","0.014","0.096"
"8","Delaware","0.133","0.151","0.164","0.000","0.008","0.053"
"9","District of Columbia","0.161","0.183","0.199","0.001","0.009","0.064"
"10","Florida","0.082","0.093","0.101","0.000","0.005","0.033"
"11","Georgia","0.190","0.216","0.235","0.001","0.011","0.076"
"12","Hawaii","0.020","0.022","0.024","0.000","0.001","0.008"
"13","Idaho","0.080","0.091","0.098","0.000","0.005","0.032"
"14","Illinois","0.170","0.193","0.210","0.001","0.010","0.067"
"15","Indiana","0.150","0.170","0.185","0.000","0.009","0.059"
"16","Iowa","0.088","0.099","0.108","0.000","0.005","0.035"
"17","Kansas","0.081","0.092","0.100","0.000","0.005","0.032"
"18","Kentucky","0.066","0.075","0.081","0.000","0.004","0.026"
"19","Louisiana","0.137","0.155","0.169","0.000","0.008","0.054"
"20","Maine","0.045","0.052","0.056","0.000","0.003","0.018"
"21","Maryland","0.151","0.171","0.186","0.000","0.009","0.060"
"22","Massachusetts","0.185","0.210","0.229","0.001","0.011","0.074"
"23","Michigan","0.247","0.281","0.305","0.001","0.014","0.098"
"24","Minnesota","0.040","0.045","0.049","0.000","0.002","0.016"
"25","Mississippi","0.082","0.093","0.101","0.000","0.005","0.033"
"26","Missouri","0.082","0.093","0.101","0.000","0.005","0.033"
"27","Montana","0.032","0.037","0.040","0.000","0.002","0.013"
"28","Nebraska","0.067","0.076","0.082","0.000","0.004","0.026"
"29","Nevada","0.094","0.107","0.117","0.000","0.005","0.037"
"30","New Hampshire","0.079","0.090","0.098","0.000","0.005","0.031"
"31","New Jersey","0.401","0.455","0.495","0.001","0.023","0.159"
"32","New Mexico","0.038","0.044","0.047","0.000","0.002","0.015"
"33","New York","0.317","0.361","0.392","0.001","0.018","0.126"
"34","North Carolina","0.064","0.073","0.080","0.000","0.004","0.026"
"35","North Dakota","0.033","0.037","0.040","0.000","0.002","0.013"
"36","Ohio","0.103","0.117","0.128","0.000","0.006","0.041"
"37","Oklahoma","0.058","0.066","0.071","0.000","0.003","0.023"
"38","Oregon","0.039","0.045","0.048","0.000","0.002","0.016"
"39","Pennsylvania","0.161","0.183","0.199","0.001","0.009","0.064"
"40","Puerto Rico","0.082","0.093","0.101","0.000","0.005","0.032"
"41","Rhode Island","0.109","0.124","0.135","0.000","0.006","0.043"
"42","South Carolina","0.087","0.099","0.108","0.000","0.005","0.035"
"43","South Dakota","0.106","0.120","0.131","0.000","0.006","0.042"
"44","Tennessee","0.060","0.068","0.074","0.000","0.003","0.024"
"45","Texas","0.083","0.094","0.102","0.000","0.005","0.033"
"46","Utah","0.039","0.044","0.048","0.000","0.002","0.016"
"47","Vermont","0.051","0.058","0.063","0.000","0.003","0.020"
"48","Virginia","0.123","0.140","0.152","0.000","0.007","0.049"
"49","Washington","0.062","0.071","0.077","0.000","0.004","0.025"
"50","West Virginia","0.032","0.037","0.040","0.000","0.002","0.013"
"51","Wisconsin","0.069","0.079","0.086","0.000","0.004","0.028"
"52","Wyoming","0.037","0.042","0.046","0.000","0.002","0.015"
