date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200221,IR,13.0,-13.0,,,,,,,,,,,,,2.0,,0,,0,,,,,,
20200222,IR,10.0,-10.0,,,,,,,,,,,,,1.0,,0,,0,,,,,,
20200223,IR,15.0,-15.0,,,,,,,,,,,,,3.0,,0,,0,,,,,,
20200224,IR,18.0,-18.0,,,,,,,,,,,,,4.0,,0,,0,,,,,,
20200225,IR,34.0,-34.0,,,,,,,,,,,,,4.0,,0,,0,,,,,,
20200226,IR,44.0,-44.0,,,,,,,,,,,,,3.0,,0,,0,,,,,,
20200227,IR,106.0,-106.0,,,,,,,,,,,,,7.0,,0,,0,,,,,,
20200228,IR,143.0,-143.0,,,,,,,,,,,,,8.0,,0,,0,,,,,,
20200229,IR,205.0,-205.0,,,,,,,,,,,,,9.0,,0,,0,,,,,,
20200301,IR,385.0,-385.0,,,,,,,,,,,,,11.0,,0,,0,,,,,,
20200302,IR,523.0,-523.0,,,,,,,,,,,,,12.0,,0,,0,,,,,,
20200303,IR,835.0,-835.0,,,,,,,,,,,,,11.0,,0,,0,,,,,,
20200304,IR,586.0,-586.0,,,,,,,,,,,,,15.0,,0,,0,,,,,,
20200305,IR,591.0,-591.0,,,,,,,,,,,,,15.0,,0,,0,,,,,,
20200306,IR,1234.0,-1234.0,,,,,,,,,,,,,17.0,,0,,0,,,,,,
20200307,IR,1076.0,-1076.0,,,,,,,,,,,,,21.0,,0,,0,,,,,,
20200308,IR,743.0,-743.0,,,,,,,,,,,,,49.0,,0,,0,,,,,,
20200309,IR,595.0,-595.0,,,,,,,,,,,,,43.0,,0,,0,,,,,,
20200310,IR,881.0,-881.0,,,,,,,,,,,,,54.0,,0,,0,,,,,,
20200311,IR,958.0,-958.0,,,,,,,,,,,,,63.0,,0,,0,,,,,,
20200312,IR,1075.0,-1075.0,,,,,,,,,,,,,75.0,,0,,0,,,,,,
20200313,IR,1289.0,-1289.0,,,,,,,,,,,,,85.0,,0,,0,,,,,,
20200314,IR,1365.0,-1365.0,,,,,,,,,,,,,97.0,,0,,0,,,,,,
20200315,IR,1209.0,-1209.0,,,,,,,,,,,,,113.0,,0,,0,,,,,,
20200316,IR,1053.0,-1053.0,,,,,,,,,,,,,129.0,,0,,0,,,,,,
20200317,IR,1178.0,-1178.0,,,,,,,,,,,,,135.0,,0,,0,,,,,,
20200318,IR,1192.0,-1192.0,,,,,,,,,,,,,147.0,,0,,0,,,,,,
20200319,IR,1046.0,-1046.0,,,,,,,,,,,,,149.0,,0,,0,,,,,,
20200320,IR,1237.0,-1237.0,,,,,,,,,,,,,149.0,,0,,0,,,,,,
20200321,IR,966.0,-966.0,,,,,,,,,,,,,123.0,,0,,0,,,,,,
20200322,IR,1028.0,-1028.0,,,,,,,,,,,,,129.0,,0,,0,,,,,,
20200323,IR,1411.0,-1411.0,,,,,,,,,,,,,127.0,,0,,0,,,,,,
20200324,IR,1762.0,-1762.0,,,,,,,,,,,,,122.0,,0,,0,,,,,,
20200325,IR,2206.0,-2206.0,,,,,,,,,,,,,143.0,,0,,0,,,,,,
20200326,IR,2389.0,-2389.0,,,,,,,,,,,,,157.0,,0,,0,,,,,,
20200327,IR,2926.0,-2926.0,,,,,,,,,,,,,144.0,,0,,0,,,,,,
20200328,IR,3076.0,-3076.0,,,,,,,,,,,,,139.0,,0,,0,,,,,,
20200329,IR,2901.0,-2901.0,,,,,,,,,,,,,123.0,,0,,0,,,,,,
20200330,IR,3186.0,-3186.0,,,,,,,,,,,,,117.0,,0,,0,,,,,,
20200331,IR,3110.0,-3110.0,,,,,,,,,,,,,141.0,,0,,0,,,,,,
20200401,IR,2988.0,-2988.0,,,,,,,,,,,,,138.0,,0,,0,,,,,,
20200402,IR,2875.0,-2875.0,,,,,,,,,,,,,124.0,,0,,0,,,,,,
20200403,IR,2715.0,-2715.0,,,,,,,,,,,,,134.0,,0,,0,,,,,,
20200404,IR,2560.0,-2560.0,,,,,,,,,,,,,158.0,,0,,0,,,,,,
20200405,IR,2483.0,-2483.0,,,,,,,,,,,,,151.0,,0,,0,,,,,,
20200406,IR,2274.0,-2274.0,,,,,,,,,,,,,136.0,,0,,0,,,,,,
20200407,IR,2089.0,-2089.0,,,,,,,,,,,,,133.0,,0,,0,,,,,,
20200408,IR,1997.0,-1997.0,,,,,,,,,,,,,121.0,,0,,0,,,,,,
20200409,IR,1634.0,8784.0,,,,,,,,,,,,,117.0,,10418,,10418,,,,,,
20200410,IR,1972.0,9203.0,,,,,,,,,,,,,122.0,,11175,,11175,,,,,,
20200411,IR,1837.0,7298.0,,,,,,,,,,,,,125.0,,9135,,9135,,,,,,
20200412,IR,1657.0,10028.0,,,,,,,,,,,,,117.0,,11685,,11685,,,,,,
20200413,IR,1617.0,-1617.0,,,,,,,,,,,,,111.0,,0,,0,,,,,,
20200414,IR,1574.0,-1574.0,,,,,,,,,,,,,98.0,,0,,0,,,,,,
20200415,IR,1512.0,10333.0,,,,,,,,,,,,,94.0,,11845,,11845,,,,,,
20200416,IR,1606.0,9530.0,,,,,,,,,,,,,92.0,,11136,,11136,,,,,,
20200417,IR,1499.0,8040.0,,,,,,,,,,,,,89.0,,9539,,9539,,,,,,
20200418,IR,1374.0,8884.0,,,,,,,,,,,,,73.0,,10258,,10258,,,,,,
20200419,IR,1343.0,10182.0,,,,,,,,,,,,,87.0,,11525,,11525,,,,,,
20200420,IR,1294.0,10056.0,,,,,,,,,,,,,91.0,,11350,,11350,,,,,,
20200421,IR,1297.0,11414.0,,,,,,,,,,,,,88.0,,12711,,12711,,,,,,
20200422,IR,1194.0,-1194.0,,,,,,,,,,,,,94.0,,0,,0,,,,,,
20200423,IR,1030.0,-1030.0,,,,,,,,,,,,,90.0,,0,,0,,,,,,
20200424,IR,1168.0,9252.0,,,,,,,,,,,,,93.0,,10420,,10420,,,,,,
20200425,IR,1134.0,9014.0,,,,,,,,,,,,,76.0,,10148,,10148,,,,,,
20200426,IR,1153.0,10085.0,,,,,,,,,,,,,60.0,,11238,,11238,,,,,,
20200427,IR,991.0,10025.0,,,,,,,,,,,,,96.0,,11016,,11016,,,,,,
20200428,IR,1112.0,-1112.0,,,,,,,,,,,,,71.0,,0,,0,,,,,,
20200429,IR,1073.0,-1073.0,,,,,,,,,,,,,80.0,,0,,0,,,,,,
